SampleName,Location,ColonyID,#mapped,#unmapped,%mapped,denom,depth
AHP02_S33_allchrs_DoC.sample_summary:AHP02_S33,Palau,,113128785,101839154,52.62588716,,25.88
AHP03-1_S12_allchrs_DoC.sample_summary:AHP03-1_S12,Palau,,166530379,266914546,38.42019352,,32.55
AHP03-2_S28_allchrs_DoC.sample_summary:AHP03-2_S28,Palau,,126966277,177095694,41.75671051,,26.09
AHP04_S34_allchrs_DoC.sample_summary:AHP04_S34,Palau,,145219827,96265481,60.13609201,,34.44
AHP05_S49_allchrs_DoC.sample_summary:AHP05_S49,Palau,,138031180,79733844,63.38537634,,34.05
AHP06-1_S13_allchrs_DoC.sample_summary:AHP06-1_S13,Palau,,44830346,47559354,48.52309944,,10.38
AHP06-2_S29_allchrs_DoC.sample_summary:AHP06-2_S29,Palau,,78186787,86728486,47.41027655,,17.66
AHP07_S50_allchrs_DoC.sample_summary:AHP07_S50,Palau,,89007927,114789862,43.67462838,,19.96
AHP08-1_S14_allchrs_DoC.sample_summary:AHP08-1_S14,Palau,,27077358,253940058,9.635473269,,4.61
AHP08-2_S30_allchrs_DoC.sample_summary:AHP08-2_S30,Palau,,20477813,176044244,10.42010923,,3.63
AHP09_S75_allchrs_DoC.sample_summary:AHP09_S75,Palau,,159317918,131299355,54.8205261,,35.6
AHP10_S76_allchrs_DoC.sample_summary:AHP10_S76,Palau,,286062932,204950173,58.25973464,,66.39
AHP11_S77_allchrs_DoC.sample_summary:AHP11_S77,Palau,,192942948,113782409,62.90414001,,46.36
AHP12-1_S15_allchrs_DoC.sample_summary:AHP12-1_S15,Palau,,110115807,59287936,65.00199172,,26.88
AHP12-2_S31_allchrs_DoC.sample_summary:AHP12-2_S31,Palau,,250035264,160790507,60.86163081,,57.19
AHP13_S78_allchrs_DoC.sample_summary:AHP13_S78,Palau,,101321930,53762242,65.33350805,,25.17
AHP14-1_S16_allchrs_DoC.sample_summary:AHP14-1_S16,Palau,,26783274,206472420,11.48236664,,5.95
AHP14-2_S32_allchrs_DoC.sample_summary:AHP14-2_S32,Palau,,22940702,166485738,12.11061244,,5.07
AHP15,Palau,,158696913,101285045,61.04151004,,0
AHP16-1_S35_allchrs_DoC.sample_summary:AHP16-1_S35,Palau,,158834752,103450553,60.55800648,,38.35
AHP16-2_S51_allchrs_DoC.sample_summary:AHP16-2_S51,Palau,,111251552,65909719,62.79676781,,27.5
AHP17_S80_allchrs_DoC.sample_summary:AHP17_S80,Palau,,248621204,149572937,62.43718287,,61.09
AHP18-1_S36_allchrs_DoC.sample_summary:AHP18-1_S36,Palau,,123984155,128301649,49.14432482,,29.1
AHP18-2_S52_allchrs_DoC.sample_summary:AHP18-2_S52,Palau,,140235407,148527188,48.56425639,,32.68
AHP19_S81_allchrs_DoC.sample_summary:AHP19_S81,Palau,,156659527,108452258,59.0918759,,37.99
AHP20_S82_allchrs_DoC.sample_summary:AHP20_S82,Palau,,101416509,63385909,61.5382409,,25.48
AHP21-1_S37_allchrs_DoC.sample_summary:AHP21-1_S37,Palau,,187619869,133886425,58.3565151,,42.76
AHP21-2_S53_allchrs_DoC.sample_summary:AHP21-2_S53,Palau,,192008247,133370693,59.01065601,,43.93
